,area,n_soceco,per_x_hog,educ,afil_sisprev,sprev_salud,activ
0,1,3,3,8,1,0,1
1,0,3,2,0,0,2,0
2,1,4,3,2,1,0,1
3,1,1,6,1,1,0,1
4,1,0,5,9,1,0,1
5,1,2,3,2,1,0,1
6,1,3,2,2,1,0,1
7,1,0,2,0,0,0,1
8,1,4,4,9,1,1,1
9,1,2,3,4,1,0,0
10,1,2,4,10,1,0,0
11,1,3,2,8,3,2,0
12,0,3,2,0,0,0,0
13,1,3,4,4,5,2,0
14,0,0,3,1,1,0,1
15,1,1,2,4,1,0,0
16,1,2,3,2,1,0,1
17,1,0,4,2,1,0,1
18,0,0,2,3,1,0,0
19,0,3,3,2,1,0,0
20,1,4,3,2,1,0,1
21,1,2,4,2,1,0,1
22,1,2,5,9,1,1,1
23,0,0,2,5,1,0,1
24,1,3,3,5,0,0,0
25,0,0,4,10,1,0,0
26,1,0,4,5,1,3,1
27,1,3,2,0,0,0,0
28,1,3,3,5,0,0,0
29,1,0,4,0,0,3,0
30,1,2,2,2,0,0,0
31,1,2,2,5,0,0,0
32,1,4,2,10,1,0,1
33,1,2,3,2,1,0,1
34,1,2,5,9,1,1,1
35,1,2,2,1,1,0,1
36,1,0,4,9,1,3,1
37,1,3,4,6,1,0,0
38,1,4,5,10,0,0,0
39,0,1,2,5,0,0,0
40,1,4,5,12,1,1,1
41,1,4,4,9,1,1,1
42,1,4,3,8,1,0,1
43,1,0,2,1,2,0,1
44,1,5,3,0,1,0,0
45,1,3,4,2,1,0,1
46,1,3,5,5,0,0,1
47,1,2,3,2,0,0,2
48,1,1,3,1,1,0,1
49,0,0,3,8,0,0,0
50,1,5,5,2,1,0,2
51,1,4,1,1,1,1,1
52,1,2,3,4,0,0,1
53,1,2,5,2,0,0,0
54,1,1,3,2,1,0,1
55,1,2,4,9,1,1,1
56,1,2,8,4,1,0,0
57,1,2,3,2,0,2,1
58,0,3,2,2,1,0,1
59,1,1,1,4,1,0,1
60,1,3,5,8,1,0,1
61,1,4,2,7,1,0,1
62,0,0,4,0,1,0,0
63,1,5,3,1,1,0,1
64,1,3,4,1,1,0,0
65,1,2,5,1,1,0,1
66,1,3,5,2,1,0,0
67,1,2,4,9,1,0,1
68,0,0,1,8,0,0,1
69,1,3,5,4,1,0,0
70,1,2,3,2,1,0,0
71,1,2,3,7,1,0,1
72,0,3,3,4,1,0,0
73,1,4,2,9,1,1,1
